,company_permalink,funding_round_permalink,funding_round_type,raised_amount_usd,permalink,name,homepage_url,category_list,status,country_code,state_code,region,city,primary_sector,main_sector
7,/organization/0xdata,/funding-round/e1cfcbe1bdf4c70277c5f29a3482f24e,venture,8900000.0,/organization/0xdata,H2O.ai,http://h2o.ai/,Analytics,operating,USA,CA,SF Bay Area,Mountain View,Analytics,"Social, Finance, Analytics, Advertising"
12,/organization/1-mainstream,/funding-round/b952cbaf401f310927430c97b68162ea,venture,5000000.0,/organization/1-mainstream,1 Mainstream,http://www.1mainstream.com,Apps|Cable|Distribution|Software,acquired,USA,CA,SF Bay Area,Cupertino,Apps,"News, Search and Messaging"
56,/organization/128-technology,/funding-round/fb6216a30cb566ede89e0bee0623a634,venture,11999347.0,/organization/128-technology,128 Technology,http://www.128technology.com/,Service Providers|Technology,operating,USA,MA,Boston,Burlington,Service Providers,Others
59,/organization/1366-technologies,/funding-round/424129ce1235cfab2655ee81305f7c2b,venture,15000000.0,/organization/1366-technologies,1366 Technologies,http://www.1366tech.com,Manufacturing,operating,USA,MA,Boston,Bedford,Manufacturing,Manufacturing
60,/organization/1366-technologies,/funding-round/6d3f3797371956ece035b8478c1441b2,venture,5000000.0,/organization/1366-technologies,1366 Technologies,http://www.1366tech.com,Manufacturing,operating,USA,MA,Boston,Bedford,Manufacturing,Manufacturing
61,/organization/1366-technologies,/funding-round/786f61aa9866f4471151285f5c56be36,venture,5150000.0,/organization/1366-technologies,1366 Technologies,http://www.1366tech.com,Manufacturing,operating,USA,MA,Boston,Bedford,Manufacturing,Manufacturing
62,/organization/1366-technologies,/funding-round/82ace97530965cd2be8f262836b43ff5,venture,12400000.0,/organization/1366-technologies,1366 Technologies,http://www.1366tech.com,Manufacturing,operating,USA,MA,Boston,Bedford,Manufacturing,Manufacturing
63,/organization/1366-technologies,/funding-round/ab99fc5a53717b1b53fd6aa5687c5fa9,venture,6000000.0,/organization/1366-technologies,1366 Technologies,http://www.1366tech.com,Manufacturing,operating,USA,MA,Boston,Bedford,Manufacturing,Manufacturing
74,/organization/170-systems,/funding-round/b84bb882ca873f5fb96535671981196d,venture,14000000.0,/organization/170-systems,170 Systems,http://www.170systems.com,Software,acquired,USA,MA,Boston,Bedford,Software,Others
77,/organization/17zuoye,/funding-round/69690484f51e15bc27ff52bfe472cd96,venture,5000000.0,/organization/17zuoye,17zuoye,http://www.17zuoye.com/,Education|Language Learning,operating,USA,VA,VA - Other,Shanghai,Education,Others
78,/organization/17zuoye,/funding-round/8d87f771e938e0f31641bd600abbafca,venture,10000000.0,/organization/17zuoye,17zuoye,http://www.17zuoye.com/,Education|Language Learning,operating,USA,VA,VA - Other,Shanghai,Education,Others
83,/organization/1bog,/funding-round/3d2463c9b97f32b3be8747fbd629961f,venture,5000000.0,/organization/1bog,One Block Off the Grid (1BOG),http://1bog.org,Clean Technology|Residential Solar,closed,USA,CA,SF Bay Area,San Francisco,Clean Technology,Cleantech / Semiconductors
98,/organization/1stdibs,/funding-round/292b074d073fdd9c7e9d8f372c3aa5f6,venture,15000000.0,/organization/1stdibs,1stdibs,http://www.1stdibs.com,E-Commerce,operating,USA,NY,New York City,New York,E-Commerce,Others
111,/organization/2080-media,/funding-round/281939941d4818948129b8349dbf5f14,venture,8000000.0,/organization/2080-media,2080 Media,,News,operating,USA,GA,Atlanta,Atlanta,News,"News, Search and Messaging"
116,/organization/2080-media,/funding-round/fbbda7a2eacc73185353890b9028797c,venture,7200000.0,/organization/2080-media,2080 Media,,News,operating,USA,GA,Atlanta,Atlanta,News,"News, Search and Messaging"
124,/organization/21e6,/funding-round/bdf9f5bf67ee51155eae223acac57ec5,venture,5050000.0,/organization/21e6,21 Inc,https://21.co,Big Data|Bitcoin|Hardware + Software|Technology,operating,USA,CA,SF Bay Area,San Francisco,Big Data,"Social, Finance, Analytics, Advertising"
128,/organization/22nd-century-group,/funding-round/50617d7ea8eaa838e2fd8eb8dfe06054,venture,10000000.0,/organization/22nd-century-group,22nd Century Group,http://www.xxiicentury.com,Biotechnology,ipo,USA,NY,NY - Other,Clarence,Biotechnology,Cleantech / Semiconductors
135,/organization/23andme,/funding-round/97062e0d50c2955cbe40bf8220d87b08,venture,9000000.0,/organization/23andme,23andMe,http://23andme.com,Biotechnology|Search,operating,USA,CA,SF Bay Area,Mountain View,Biotechnology,Cleantech / Semiconductors
138,/organization/23andme,/funding-round/c27c1b420dfb34677a6ba449524f1c88,venture,12600000.0,/organization/23andme,23andMe,http://23andme.com,Biotechnology|Search,operating,USA,CA,SF Bay Area,Mountain View,Biotechnology,Cleantech / Semiconductors
140,/organization/23andme,/funding-round/f261366b4fbf1840ad71b20ea0d9c7ce,venture,9000000.0,/organization/23andme,23andMe,http://23andme.com,Biotechnology|Search,operating,USA,CA,SF Bay Area,Mountain View,Biotechnology,Cleantech / Semiconductors
154,/organization/28msec,/funding-round/ce3a68e4a52892784f1ad085e5d7035a,venture,5844811.0,/organization/28msec,28msec,http://www.28msec.com,Cloud Computing|Databases|Software|Web Development,operating,USA,CA,SF Bay Area,Palo Alto,Cloud Computing,"News, Search and Messaging"
